REG,COM,Nom,HApoly,Surfacesbois,Airbat,POPTOT,HApoly.cat,POPTOT.cat,DOM
1,5672,Forel-sur-Lucens,284,54,6,137,1,1,1
1,5701,Arnex-sur-Nyon,204,29,9,136,1,1,1
1,5912,Demoret,424,70,11,133,1,1,1
1,5916,Essert-sous-Champvent,122,25,4,132,1,1,1
1,5557,Fontaines-sur-Grandson,786,389,5,132,1,1,1
1,6142,Trient,3957,1233,8,130,3,1,1
1,5457,Donatyre,111,11,8,127,1,1,1
1,5927,Prahins,242,63,3,126,1,1,1
1,5915,Essert-Pittet,276,23,5,125,1,1,1
1,6112,Oberems,8460,1143,14,125,4,1,1
1,5475,Chavannes-le-Veyron,258,70,7,125,1,1,1
1,5690,Villars-le-Comte,422,109,5,122,1,1,1
1,5800,Les Tavernes,229,55,3,122,1,1,1
1,5670,Denezy,378,88,12,122,1,1,1
1,5679,Neyruz-sur-Moudon,352,92,5,120,1,1,1
1,5802,Vuibroye,141,15,7,120,1,1,1
1,5829,Villars-Bramard,320,120,6,118,1,1,1
1,5758,La Praz,513,262,7,117,1,1,1
1,5688,Syens,253,90,7,117,1,1,1
1,5683,Prevonloup,184,24,7,114,1,1,1
1,5563,Mutrux,321,199,3,113,1,1,1
1,5917,Gossens,102,14,4,113,1,1,1
1,5667,Correvon,224,32,3,110,1,1,1
1,5762,Sergey,148,34,6,108,1,1,1
1,6216,Mex (VS),792,372,7,106,1,1,1
1,5908,Chene-Paquier,211,51,3,104,1,1,1
1,5828,Treytorrens (Payerne),306,65,6,102,1,1,1
1,5812,Champtauroz,305,59,7,100,1,1,1
1,5937,Vugelles-La Mothe,308,185,3,99,1,1,1
1,6055,Blitzingen,1181,323,8,99,2,1,1
1,5564,Novalles,206,100,2,99,1,1,1
1,6233,Chandolin,1665,984,21,95,2,1,1
1,5528,Naz,116,26,3,91,1,1,1
1,6109,Inden,986,266,5,89,1,1,1
1,5906,Chaneaz,139,38,2,87,1,1,1
1,5928,Rovray,235,47,5,87,1,1,1
1,5562,Mauborget,550,391,10,85,1,1,1
1,5519,Eclagnens,214,29,5,83,1,1,1
1,6062,Muhlebach,979,216,7,81,1,1,1
1,6175,Goppisberg,253,121,8,79,1,1,1
1,6011,Zwischbergen,8615,2103,7,78,4,1,1
1,5677,Montaubion-Chardonney,209,67,6,74,1,1,1
1,5797,La Rogivue,106,20,2,72,1,1,1
1,5676,Martherenges,83,30,3,71,1,1,1
1,6064,Niederwald,468,205,2,70,1,1,1
1,5558,Fontanezier,373,184,5,70,1,1,1
1,5920,Mezery-pres-Donneloye,185,19,3,69,1,1,1
1,5781,Bussigny-sur-Oron,117,17,3,67,1,1,1
1,5433,Pizy,252,66,7,65,1,1,1
1,6059,Geschinen,1004,241,4,65,1,1,1
1,5811,Cerniaz (VD),177,35,4,63,1,1,1
1,5526,Malapalud,83,15,2,61,1,1,1
1,5686,Sarzens,145,23,4,60,1,1,1
1,5681,Oulens-sur-Lucens,159,55,4,52,1,1,1
1,5668,Cremin,163,37,3,51,1,1,1
1,5684,Rossenges,108,4,2,51,1,1,1
1,5935,Villars-Epeney,86,13,2,50,1,1,1
1,5488,Mauraz,50,5,1,48,1,1,1
1,6051,Ausserbinn,461,275,2,47,1,1,1
1,5823,Rossens (VD),113,12,5,46,1,1,1
1,5936,Villars-sous-Champvent,92,5,2,45,1,1,1
1,5569,Vaugondry,84,37,2,38,1,1,1
1,5901,Arrissoules,86,14,2,37,1,1,1
1,5567,Romairon,489,286,5,37,1,1,1
1,5525,Goumoens-le-Jux,129,45,1,34,1,1,1
1,5454,Champmartin,260,123,9,33,1,1,1
1,6070,Steinhaus,567,249,1,33,1,1,1
1,6172,Bister,584,233,2,33,1,1,1
1,6178,Martisberg,301,124,3,27,1,1,1
